                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
 1.158446397256e-004	 1.731653215421e-004	 3.080361418434e-004	 7.307136466235e-004	 9.830893949546e+000	 1.536018017644e-010	 8.397226117609e+000	 2.073973956647e-004	 0.000000000000e+000	
 1.167374988144e-004	 1.676124290046e-004	 2.777918824234e-004	 6.573336245151e-004	 9.838584709917e+000	 1.507027836412e-010	 8.272807211467e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.167313572833e-004	 1.676062874707e-004	 2.777918824085e-004	 6.573336244799e-004	 9.838568111243e+000	 1.507085095280e-010	 8.282091802722e+000	 2.073646555453e-004	 0.000000000000e+000	
 1.175670470144e-004	 1.624013098330e-004	 2.487435460664e-004	 5.871556170366e-004	 9.845990944743e+000	 1.479552100767e-010	 8.326053627308e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.175620962757e-004	 1.623963590923e-004	 2.487435460556e-004	 5.871556170112e-004	 9.845977678996e+000	 1.479597009962e-010	 8.338689981800e+000	 2.073381376264e-004	 0.000000000000e+000	
 1.183333852010e-004	 1.575592218120e-004	 2.211209140861e-004	 5.206935006369e-004	 9.853068836753e+000	 1.453691472157e-010	-4.946459034254e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.183296257555e-004	 1.575554623652e-004	 2.211209140788e-004	 5.206935006198e-004	 9.853058843601e+000	 1.453724696896e-010	-4.941805788693e+000	 2.073178069238e-004	 0.000000000000e+000	
 1.190311467724e-004	 1.530982903321e-004	 1.951142882800e-004	 4.583628628971e-004	 9.859762921844e+000	 1.429577734597e-010	-4.640050757768e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.190285193609e-004	 1.530956629199e-004	 1.951142882755e-004	 4.583628628866e-004	 9.859755989253e+000	 1.429600391098e-010	-4.707059170602e+000	 2.073033426509e-004	 0.000000000000e+000	
 1.196569678057e-004	 1.490232417096e-004	 1.708712712722e-004	 4.004750895449e-004	 9.866027501803e+000	 1.407302950881e-010	 8.259632169206e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.196553613484e-004	 1.490216352519e-004	 1.708712712698e-004	 4.004750895393e-004	 9.866023291533e+000	 1.407316489676e-010	 8.252142510191e+000	 2.072941755684e-004	 0.000000000000e+000	
 1.202095696069e-004	 1.453320587892e-004	 1.484953719578e-004	 3.472357214491e-004	 9.871827782645e+000	 1.386919830065e-010	 8.201391577365e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.202088335380e-004	 1.453313227202e-004	 1.484953719568e-004	 3.472357214469e-004	 9.871825865203e+000	 1.386925903597e-010	 8.211642230480e+000	 2.072895460696e-004	 0.000000000000e+000	
 1.206897145141e-004	 1.420167690643e-004	 1.280463780759e-004	 2.987468643990e-004	 9.877140500434e+000	 1.368443432524e-010	 8.299656634880e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.206896739637e-004	 1.420167285139e-004	 1.280463780759e-004	 2.987468643989e-004	 9.877140395371e+000	 1.368443760713e-010	 8.307364770401e+000	 2.072885758946e-004	 0.000000000000e+000	
 1.211000390335e-004	 1.390643102514e-004	 1.095423424591e-004	 2.550132264803e-004	 9.881954007464e+000	 1.351854019669e-010	-5.015421903290e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.211005109918e-004	 1.390647822098e-004	 1.095423424596e-004	 2.550132264814e-004	 9.881955224470e+000	 1.351850266093e-010	-5.004462880046e+000	 2.072903448896e-004	 0.000000000000e+000	
 1.214447811298e-004	 1.364574259440e-004	 9.296295228901e-005	 2.159511933144e-004	 9.886267833236e+000	 1.337100819126e-010	 8.262446060014e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.214455896795e-004	 1.364582344940e-004	 9.296295228963e-005	 2.159511933159e-004	 9.886269909570e+000	 1.337094488310e-010	 8.258464970204e+000	 2.072939639583e-004	 0.000000000000e+000	
 1.217294291880e-004	 1.341755537092e-004	 7.825399526469e-005	 1.814002386638e-004	 9.890091774082e+000	 1.324106458700e-010	 8.065783079215e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.217304181183e-004	 1.341765426396e-004	 7.825399526537e-005	 1.814002386654e-004	 9.890094304595e+000	 1.324098821954e-010	 7.932305717684e+000	 2.072986363254e-004	 0.000000000000e+000	
 1.219603271609e-004	 1.321956782249e-004	 6.533260459295e-005	 1.511359103917e-004	 9.893444598058e+000	 1.312771821987e-010	 8.131605670727e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.219613687431e-004	 1.321967198072e-004	 6.533260459355e-005	 1.511359103931e-004	 9.893447255232e+000	 1.312763875585e-010	 8.147821560031e+000	 2.073037013369e-004	 0.000000000000e+000	
 1.221442727537e-004	 1.304931312215e-004	 5.409295608396e-005	 1.248836281691e-004	 9.896352474424e+000	 1.302981090586e-010	 8.308721926666e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.221452720962e-004	 1.304941305641e-004	 5.409295608444e-005	 1.248836281702e-004	 9.896355017346e+000	 1.302973546157e-010	 8.308758585094e+000	 2.073086577640e-004	 0.000000000000e+000	
 1.222881430212e-004	 1.290423269467e-004	 4.441210359196e-005	 1.023325740897e-004	 9.898847247951e+000	 1.294606758202e-010	 8.075341529705e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.222890381142e-004	 1.290432220397e-004	 4.441210359231e-005	 1.023325740905e-004	 9.898849520769e+000	 1.294600061447e-010	 7.788792000069e+000	 2.073131667512e-004	 0.000000000000e+000	
 1.223985750670e-004	 1.278174261534e-004	 3.615567024693e-005	 8.314904171186e-005	 9.900964677148e+000	 1.287514427182e-010	-4.699980765248e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.223993332708e-004	 1.278181843572e-004	 3.615567024717e-005	 8.314904171242e-005	 9.900966599017e+000	 1.287508797824e-010	-4.668862013537e+000	 2.073170373736e-004	 0.000000000000e+000	
 1.224817199276e-004	 1.267929235166e-004	 2.918315792393e-005	 6.698872206287e-005	 9.902742743764e+000	 1.281567226037e-010	 8.225352960757e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.224823320970e-004	 1.267935356860e-004	 2.918315792409e-005	 6.698872206323e-005	 9.902744293264e+000	 1.281562710035e-010	 8.242614520496e+000	 2.073202000109e-004	 0.000000000000e+000	
